8100320;Taufkirchen/Pram;;;;;
8100322;Ternberg;;;;;
8100323;Terfens-Weer;;;;;
8100324;Thal/Drau;;;;;
8100325;Traismauer;;;;;
8100328;Twimberg;;;;;
8100329;Uderns im Zillertal;;;;;
8100331;Untereggendorf;;;;;
8100332;Gattendorf;;;;;
8100333;Uttendorf-Helpfau;;;;;
8100334;Uttendorf-Stubachtal;;;;;
8100335;Vitis;;;;;
8100336;Völkermarkt-Kühnsdorf;;;;;
8100337;Volders-Baumkirchen;;;;;
8100338;Vorchdorf-Eggenberg;;;;;
8100339;Waizenkirchen;;;;;
8100340;Wald im Pinzgau;;;;;
8100341;Wallern im Bgld;;;;;
8100342;Wampersdorf;;;;;
8100343;Weiden am See;;;;;
8100344;Weigelsdorf NÖ;;;;;
8100345;Weißenkirchen/Wachau;;;;;
8100347;Weizelsdorf;;;;;
8100349;Wien Praterstern;;;;;
8100353;Flughafen Wien;;;;;
8100354;Wienerbruck-Josefsberg;;;;;
8100355;Wieselburg/Erlauf;;;;;
8100356;Wiesen-Sigleß;;;;;
8100357;Winden am See;;;;;
8100358;Winterbach NÖ;;;;;
8100359;Wolfsberg in Ktn;;;;;
8100360;Wolfsthal;;;;;
8100361;Wulkaprodersdorf;;;;;
8100363;Zellerndorf;;;;;
8100365;Braunau/Inn;;;;;
8100366;Brixen im Thale;;;;;
8100368;Fürnitz;;;;;
8100369;Gramatneusiedl;;;;;
8100370;Gratwein-Gratkorn;;;;;
8100371;Graz Ostbahnhof-Messe;;;;;
8100372;Guntramsdorf Kaiserau;;;;;
8100373;Kittsee;;;;;
8100374;Wien Kaiserebersdorf;;;;;
8100376;Moosbierbaum-Heiligeneich;;;;;
8100378;Wien Matzleinsdorf (Autoreisezuganlage);;;;;
8100379;Trimmelkam;;;;;
8100380;Vandans;;;;;
8100382;Villach Warmbad;;;;;
8100383;Wartberg im Mürztal;;;;;
8100388;Neudorf b.Parndorf;;;;;
8100389;Wolfurt;;;;;
8100390;Aschau im Zillertal;;;;;
8100391;Bad St.Leonhard;;;;;
8100393;Bleiburg;;;;;
8100395;Wien Breitensee;;;;;
8100396;Linz/Donau Urfahr;;;;;
8100397;Breitenbrunn/Neusiedler See;;;;;
8100398;Loipersbach-Schattendorf;;;;;
8100399;Irnfritz;;;;;
8100400;Ramsau im Zillertal-Hippach;;;;;
8100403;Rattendorf-Jenig;;;;;
8100404;Salzburg Maria Plain-Plainbrücke;;;;;
8100405;Ried im Innkreis;;;;;
8100406;Ried im Zillertal;;;;;
8100407;Riedau;;;;;
8100408;Mattersburg;;;;;
8100409;Mattighofen;;;;;
8100410;Mauerkirchen;;;;;
8100411;Rosenburg/Kamp;;;;;
8100412;Micheldorf in OÖ;;;;;
8100413;Mauthausen OÖ;;;;;
8100414;Salzburg Hbf (Bahnsteige 11-12);;;;;
8100415;Sarmingstein;;;;;
8100416;Sattledt;;;;;
8100417;Mittewald/Drau;;;;;
8100418;Mittlern;;;;;
8100419;Möllbrücke-Sachsenburg;;;;;
8100420;Scharnstein-Mühldorf;;;;;
8100421;Mühlbach im Pinzgau;;;;;
8100422;Schützen am Gebirge;;;;;
8100423;Münchendorf;;;;;
8100424;Müllendorf;;;;;
8100425;Wörschach Schwefelbad;;;;;
8100426;Seekirchen/Wallersee;;;;;
8100429;Söchau;;;;;
8100430;Neufelden;;;;;
8100431;St.Andrä/Zicksee;;;;;
8100432;St.Andrä-Wördern;;;;;
8100433;Neukirchen am Großvenediger;;;;;
8100434;Neusiedl am See;;;;;
8100435;St.Johann im Rosental;;;;;
8100437;St.Martin im Innkreis;;;;;
8100438;Niederspaching;;;;;
8100439;Obereggendorf;;;;;
8100440;St.Stefan im Lavanttal;;;;;
8100441;Wien Oberdöbling;;;;;
8100442;Obernberg-Altheim;;;;;
8100445;Waidhofen/Ybbs;;;;;
8100446;Wien Franz-Josefs-Bahnhof;;;;;
8100447;Wien Hütteldorf;;;;;
8100448;Pamhagen;;;;;
8100449;Wien Mitte-Landstraße;;;;;
8100450;Wien Penzing;;;;;
8100451;Zirl;;;;;
8100452;Aschach/Donau;;;;;
8100453;Neusiedl am See Bad;;;;;
8100454;Attersee;;;;;
8100455;Bad Waltersdorf;;;;;
8100456;Bergheim b.Salzburg;;;;;
8100457;Bernhardsthal;;;;;
8100458;Bramberg am Wildkogel;;;;;
8100459;Dellach im Gailtal;;;;;
8100460;Klosterneuburg Kierling;;;;;
8100463;Losenstein;;;;;
8100465;Rattenberg-Kramsach;;;;;
8100466;Marchegg;;;;;
8100467;Maria Elend im Rosental;;;;;
8100469;Retz;;;;;
8100470;Maria Rain in Ktn;;;;;
8100471;Mariazell;;;;;
8100472;Marz-Rohrbach;;;;;
8100473;Bregenz Riedenburg;;;;;
8100474;Rohrbach-Berg;;;;;
8100475;Maurach/Achensee;;;;;
8100476;Rottenegg;;;;;
8100477;Rum b.Innsbruck;;;;;
8100478;Mining;;;;;
8100479;Mitterbach/Erlaufsee;;;;;
8100480;Mittersill;;;;;
8100481;Bad Sauerbrunn;;;;;
8100482;Schaan-Vaduz;;;;;
8100483;Schaftenau;;;;;
8100484;Mönchhof-Halbturn;;;;;
8100485;Scheibbs;;;;;
8100486;Schlitters-Bruck am Ziller;;;;;
8100487;Schönberg/Kamp;;;;;
8100488;Münster-Wiesing;;;;;
8100489;Munderfing;;;;;
8100490;Murau;;;;;
8100491;Mureck;;;;;
8100493;Sigmundsherberg;;;;;
8100494;Neudörfl im Bgld;;;;;
8100495;Neufeld/Leitha;;;;;
8100496;St.Andrä im Lavanttal;;;;;
8100497;St.Anton im Montafon;;;;;
8100498;St.Georgen im Attergau;;;;;
8100499;Nickelsdorf;;;;;
8100500;Niedernsill;;;;;
8100501;St.Paul im Lavanttal;;;;;
8100502;St.Martin-Sittich;;;;;
8100503;St.Nikola-Struden;;;;;
8100505;Ober-Grafendorf;;;;;
8100506;St.Urban/Ossiacher See;;;;;
8100507;Vöcklabruck;;;;;
8100508;Vöcklamarkt;;;;;
8100509;Oberndorf b.Salzburg;;;;;
8100511;Weyer/Enns;;;;;
8100512;Wien Ottakring;;;;;
8100513;Ottensheim;;;;;
8100514;Wien Meidling;;;;;
8100515;Parndorf Ort;;;;;
8100516;Wr.Neustadt Hbf;;;;;
8100517;Windischgarsten;;;;;
8100518;Zeltweg;;;;;
8100520;Petronell-Carnuntum;;;;;
8100521;Pettenbach OÖ;;;;;
8100522;Peuerbach;;;;;
8100523;Piesendorf;;;;;
8100524;Pill-Vomperbach;;;;;
8100525;Pottendorf-Landegg;;;;;
8100526;Pram-Haag;;;;;
8100527;Preblau-Sauerbrunn;;;;;
8100528;Pregarten;;;;;
8100529;Pressegger See;;;;;
8100530;Puchenstuben;;;;;
8100531;Pürbach-Schrems;;;;;
8100532;Purbach/Neusiedler See;;;;;
8100533;Stadl/Mur;;;;;
8100534;Stockerau;;;;;
8100535;Feistritz im Rosental;;;;;
8100536;Kefermarkt;;;;;
8100537;Maria Ellend/Donau;;;;;
8100538;Bad Deutsch-Altenburg;;;;;
8100539;Werfen;;;;;
8100541;Mayrhofen im Zillertal;;;;;
8100543;Pama;;;;;
8100544;Wernstein/Inn;;;;;
8100545;Jenbach (Zillertalbahn);;;;;
8100546;Kuchl;;;;;
8100547;Zell am Ziller;;;;;
8100548;Innsbruck Allerheiligenhöfe;;;;;
8100549;Gießenbach in Tirol;;;;;
8100550;Heiterwang-Plansee;;;;;
8100551;Kranebitten;;;;;
8100552;Lermoos;;;;;
8100553;Lähn b.Bichlbach;;;;;
8100554;Leithen b.Seefeld;;;;;
8100555;Musau;;;;;
8100556;Pflach;;;;;
8100557;Schönbichl in Tirol;;;;;
8100558;Ulrichsbrücke-Füssen;;;;;
8100559;Salzburg Gnigl;;;;;
8100562;Autal;;;;;
8100563;Au b.Bad Wimsbach;;;;;
8100564;St.Martin im Sulmtal-Bergla;;;;;
8100565;Bergham b.Linz;;;;;
8100568;Fels am Wagram;;;;;
8100570;Großendorf;;;;;
8100571;Gutenstein;;;;;
8100572;Haid b.Vöcklamarkt;;;;;
8100573;Micheldorf-Hirt;;;;;
8100575;Kogl im Attergau;;;;;
8100576;Marktl/Traisen;;;;;
8100578;Muntigl;;;;;
8100579;Oed/Piesting;;;;;
8100580;Perg;;;;;
8100582;Pürgg;;;;;
8100583;Saurau;;;;;
8100584;Schlüßlberg;;;;;
8100585;Wartberg ob der Aist Schloss Haus;;;;;
8100586;Silz im Oberinntal;;;;;
8100587;Schlöglmühl;;;;;
8100589;Stams;;;;;
8100590;Stübing;;;;;
8100591;Silberwald;;;;;
8100592;Waldl;;;;;
8100593;Werndorf;;;;;
8100594;Weng b.Neumarkt;;;;;
8100595;Wenns im Pinzgau;;;;;
8100597;Aich-Assach;;;;;
