"Verkehrsstation","BST Code"
"Kapellerfeld","Gef H1"
"Kapfenberg","Ka"
"Kapfenberg Fachhochschule","Mas H1H"
"Kappel am Krappfeld","Tr  H1"
"Kastenreith","Wey H1"
"Katsdorf","Lu  H1"
"Katzelsdorf","Nb  H1"
"Kefermarkt","Kf"
"Kematen in Tirol","Vl  H1"
"Kematen-Piberbach","Kek"
"Kimpling","Neu H1"
"Kindberg","Ki"
"Kirchberg am Wagram","Kch"
"Kirchberg in Tirol","Kit"
"Kirchbichl","Kir"
"Kirchdorf a.d.Krems","Kik"
"Kirchstetten","Krt"
"Kittsee","Ktt"
"Kitzbühel","Kzb"
"Kitzbühel Hahnenkamm","Kzb H1"
"Klagenfurt Annabichl","Mal H1"
"Klagenfurt Ebenthal","Gra H1"
"Klagenfurt Hbf","Kt"
"Klagenfurt Lend","Kt  H1"
"Klagenfurt Ostbf","Kto"
"Klagenfurt Süd","Kts"
"Klagenfurt West","Kt  H2"
"Klamm-Schottwien","Eib H1"
"Klaus","Kus"
"Klaus in Vorarlberg","Rk  H2"
"Kleblach-Lind","Kel"
"Kledering","Za"
"Kleinreifling","Kg"
"Kleinzell","Nen H1"
"Klosterneuburg-Kierling","Ken H1"
"Klosterneuburg-Weidling","Ken"
"Knittelfeld","Kd"
"Kolbnitz","Kl"
"Korneuburg","Ko"
"Köstendorf Weng","Nst H1"
"Kothmühle","Ssm H1"
"Kottingbrunn","Bvs H1"
"Kottingneusiedl","Enz H1"
"Köttmannsdorf Lambichl","Kt  H1A"
"Kranebitten","Ih  H2"
"Kraubath","Kra"
"Kreisbach","Trn H3"
"Krems a.d.Donau","Kr"
"Kremsmünster","Kre"
"Krenstetten-Biberbach","Ams H3"
"Krieglach","Ke"
"Kritzendorf","Kz"
"Kröllendorf","Ul  H1"
"Krottenbachstraße","Ht  H2"
"Krummnußbaum","Poe H1"
"Krumpendorf","Krd"
"Küb","Pr  H1"
"Kuchl","Hl  H5"
"Kuchl Garnei","Hl  H3"
"Kufstein","K"
"Kühnsdorf Klopeiner See","Khd"
"Kumpfmühl","Neu H2"
"Küpfern Haltestelle","Rei H3"
"Laa a.d.Thaya","Laa"
"Lacken","Rog H1"
"Ladendorf","Ldf"
"Lähn","Ler H1"
"Lahrndorf","Lf"
"Lambach","La"
"Lambach Markt","La  H1"
"Landeck-Zams","Le"
"Langen am Arlberg","Lan"
"Langenlebarn","Aw  H3"
"Langenlois","Lis"
"Langenwang","Mz  H2"
"Langenzersdorf","F   H2S"
"Langkampfen","K   H2"
"Lanzendorf-Rannersdorf","Zs"
"Lanzenkirchen","Kw"
"Lasberg-St.Oswald","Kf  H1"
"Laßnitzhöhe","Lah"
"Laßnitzthal","Laz"
"Lauffen","Gj  H1"
"Launsdorf-Hochosterwitz","Lad"
"Lauterach","Lat"
"Lauterach Unterfeld","Lwa"
"Laxenburg-Biedermannsdorf","Lx"
"Lebring","Wi  H1"
"Ledenitzen","Fas H1"
"Lehen-Altensam","At  H1"
"Leibnitz","Lei"
"Leithen","Hol H1"
"Lend","Ld"
"Lendorf","Ssn H1"
"Lengau","Nst H2H"
"Lenzing","Lng"
"Lenzing Ort","Lng H1"
"Leoben Hbf","Leb"
"Leoben Lerchenfeld","Ni  H1"
"Leobendorf-Burg Kreuzenstein","Ko  H1"
"Leobersdorf","Lb"
"Leogang","Saa H2"
"Leogang-Steinberge","Saa H1"
"Leonding","Lz  H1"
"Leopoldau","Lp"
"Lermoos","Ler"
"Lichendorf","Sd  H2"
"Liebenfels Haltestelle","Vs  H2"
"Lienz","Lie"
"Lienz-Peggetz","Lie H1"
"Liesing","Lg"
"Liezen","Ln"
"Lilienfeld","Lil"
"Lilienfeld Krankenhaus","Shr H1"
"Limberg-Maissau","Lim"
"Lind-Rosegg","Vel H1"
"Linz Ebelsberg","Ast H2"
"Linz Hbf","Lz"
