Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Erlauf	Erf	379	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Niederösterreich
Ernsthofen	Ern	383	3.d		Niederösterreich
Eschenau	Ld  H1	1176	3.d	Ab Netzfahrplanperiode 2027 wird die Station voraussichtlich nicht mehr angeboten.	Salzburg
Etsdorf-Straß	Edo	324	3.d		Niederösterreich
Eugendorf	See H2	1977	3.d		Salzburg
Faak am See	Fas	403	3.d		Kärnten
Fehring	Feg	418	3.c		Steiermark
Feldbach	Fb	404	3.c		Steiermark
Feldkirch	Fk	448	3.b		Vorarlberg
Feldkirch-Amberg	Fk  H1	454	3.d		Vorarlberg
Feldkirchen in Kärnten	Fel	426	3.d		Kärnten
Feldkirchen-Seiersberg	Pu  H1A	542	3.c		Steiermark
Felixdorf	Fld	462	3.c		Niederösterreich
Fels	Fs	506	3.d		Niederösterreich
Fentsch-St.Lorenzen	Fes	429	3.d		Steiermark
Ferndorf	Ro  H1	1872	3.d		Kärnten
Feuerwerksanstalt	Fwa	443	3.d		Niederösterreich
Fieberbrunn	Hch H2	444	3.d		Tirol
Finkenstein	Vu  H2	2338	3.d		Kärnten
Fischamend	Fam	402	3.d		Niederösterreich
Flaurling	Zl  K1	2570	3.d		Tirol
Flughafen Graz Feldkirchen	Pu  H1	1770	3.d		Steiermark
Flughafen Wien	Fws	528	3.c		Niederösterreich
Föderlach	Foe	482	3.d		Kärnten
Forst Hilti	Nd  H1	2618	3.d		Liechtenstein
Franckstraße	Lfs	1204	3.d		Oberösterreich
Frankenmarkt	Fm	474	3.d		Oberösterreich
Frastanz	Fa	401	3.d		Vorarlberg
Frättingsdorf	Ft	510	3.d		Niederösterreich
Frauental-Bad Gams	Frt	505	3.d		Steiermark
Freistadt	Fr	486	3.d		Oberösterreich
Friedberg	Fd	412	3.d		Steiermark
Friedburg	Nsf	496	3.d		Oberösterreich
Friesach	Fi	433	3.c		Kärnten
Fritzens-Wattens	Fw	517	3.d		Tirol
Frohnleiten	Fro	502	3.c		Steiermark
Fürnitz	Fn	481	3.d		Kärnten
Fürstenfeld	Fue	512	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Steiermark
Furth-Göttweig	Fh  H1	431	3.d		Niederösterreich
Furth-Palt	Fh	430	3.d		Niederösterreich
Gaflenz	Ob  H2	1599	3.d		Oberösterreich
Gaisbach-Wartberg	Ga	545	3.d		Oberösterreich
Gaisfeld	Kro H1	1088	3.d	Ab Netzfahrplanperiode 2026 wird die Station nicht mehr angeboten.	Steiermark
Gaishorn	Gai	553	3.d		Steiermark
Gaisruck	Hui H1	2143	3.d		Niederösterreich
Gänserndorf	Gae	547	3.c		Niederösterreich
Garsten	Gst	716	3.d		Oberösterreich
Gars-Thunau	Gas	554	3.d		Niederösterreich
Gattendorf	Gtt	726	3.d		Burgenland
Gedersdorf	Hfa H1H	822	3.d		Niederösterreich
Geinberg	Gur H1	746	3.d		Oberösterreich
Geiselbergstraße	Sah H1	1251761	3.c		Wien
Gemeinlebarn	Mos H3	1449	3.d		Niederösterreich
Gerasdorf	Gef	570	3.c		Niederösterreich
Gerling im Pinzgau	Z   H1	2544	3.d	Ab Netzfahrplanperiode 2027 wird die Station voraussichtlich nicht mehr angeboten.	Salzburg
Gerling OÖ	Rog H2	1880	3.d		Oberösterreich
Gersthof	Ht  H3	904	3.c		Wien
Getzersdorf	Tra H1	2252	3.d		Niederösterreich
Gießenbach	Set K1	1993	3.d		Tirol
Gisingen	Fk  H2N	456	3.d		Vorarlberg
Glandorf	Vps H1	2347	3.d		Kärnten
Glanegg	Gla	618	3.d		Kärnten
Gleisdorf	Gld	620	3.c		Steiermark
Gleißenfeld	Ses H1	1990	3.d		Niederösterreich
Glinzendorf	Raf H1	1813	3.d		Niederösterreich
Gloggnitz	Glo	626	3.c		Niederösterreich
Gmünd N.Ö.	Gm	630	3.c		Niederösterreich
Gmunden	Gz	752	3.d		Oberösterreich
Gniebing	Stu H2	2137	3.d		Steiermark
Gobelsburg	Lis H1	1235	3.d		Niederösterreich
Gödersdorf	Vu  H1	2337	3.d		Kärnten
Goisern Jodschwefelbad	Gj	599	3.d		Oberösterreich
Göllersdorf	Gr	679	3.d		Niederösterreich
Golling-Abtenau	Gg	585	3.c		Salzburg
Göpfritz	Gf	580	3.d		Niederösterreich
Gopperding	Ant H3	2240	3.d		Oberösterreich
Görtschach-Förolach	Ssv H1	723	3.d		Kärnten
Gosdorf	Gof	662	3.d		Steiermark
Götzendorf	Goe	654	3.d		Niederösterreich
Götzis	Got	674	3.d		Vorarlberg
Grafendorf	Gd	562	3.d		Steiermark
Grafenstein	Gra	683	3.c		Kärnten
Gramatneusiedl	Gn	642	3.c		Niederösterreich
Gratwein-Gratkorn	Gw	747	3.d		Steiermark
Graz Don Bosco	Gdb	2566531	3.c		Steiermark
Graz Hbf	G	541	3.a		Steiermark
Graz Köflacherbf	Gkf	608	3.c		Steiermark
Graz Liebenau-Murpark	Gob H1	1730	3.d		Steiermark
Graz Ostbf-Messe	Gob	652	3.c		Steiermark
Graz Puntigam	Pu	1769	3.c		Steiermark
Graz Straßgang	Sgg	2001	3.d		Steiermark
Graz Webling	Gkf H2	611	3.d		Steiermark
Graz Wetzelsdorf	Gkf H1	610	3.d		Steiermark
Greifenburg-Weißensee	Gre	689	3.d		Kärnten
Greifenstein-Altenberg	Kz  H2	1119	3.d		Niederösterreich
Grein Stadt	Ges	579	3.d		Oberösterreich
Grein-Bad Kreuzen	Gbk	560	3.d		Oberösterreich
Greinsfurth	Ams H1U	59	3.d		Niederösterreich
Gries	Sti K1	2112	3.d		Tirol
Gries im Pinzgau	Ta  H1	2197	3.d		Salzburg
Grieskirchen-Gallspach	Gk	601	3.c		Oberösterreich
Grieswirt	Hch H3	445	3.d		Tirol
Gröbming	Grb	686	3.d		Steiermark
Groß Sierning	Sie	1676	3.d		Niederösterreich
Groß St.Florian	Gfl	584	3.d		Steiermark
Großendorf	Gdf	563	3.d		Oberösterreich
Großraming	Rei H2	700	3.d		Oberösterreich
Großweikersdorf	Wk	2472	3.d		Niederösterreich
Grünau im Almtal	Gue	736	3.d		Oberösterreich
Grünbach am Schneeberg	Gru	706	3.d		Niederösterreich
Grünbach Kohlenwerk	Gru H2	709	3.d		Niederösterreich
Grünbach Schule	Gru H1	708	3.d		Niederösterreich
Gstatterboden im Nationalpark	Gb	557	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Steiermark
Gumpoldskirchen	Md  H2	1379	3.d		Niederösterreich
Gunskirchen	Gun	742	3.d		Oberösterreich
Guntersdorf	Gud	734	3.d		Niederösterreich
Guntramsdorf Thallern	Md  H1	1378	3.d		Niederösterreich
Guntramsdorf-Kaiserau Haltestelle	Guk H1	740	3.d		Niederösterreich
Gurten	Gur	745	3.d		Oberösterreich
Gussendorf	Wtt H1	1790	3.d		Steiermark
Gutenstein	Gt	722	3.d		Niederösterreich
Hadersdorf am Kamp	Hfa	820	3.c		Niederösterreich
Hagenau im Innkreis	Mig H1	1419	3.d		Oberösterreich
Haiding	Had	768	3.d		Oberösterreich
Haiming	Siz H1	2019	3.d		Tirol
Hainburg a.d.Donau Kulturfabrik	Hai	775	3.d		Niederösterreich
Hainburg a.d.Donau Personenbf	Hai H1	777	3.d		Niederösterreich
Hainburg a.d.Donau Ungartor	Hai H2	778	3.d		Niederösterreich
Hainfeld	Hn	852	3.d		Niederösterreich
Halbenrain	Hal	780	3.d		Steiermark
Hall in Tirol	H	754	3.c		Tirol
Hallein	Hl	842	3.c		Salzburg
Hallein Burgfried	Hl  H1A	1402934	3.c		Salzburg
Hallstatt	Oa  H1	1596	3.d		Oberösterreich
Hall-Thaur	H   H1	4872531	3.c		Tirol
Hallwang-Elixhausen	Hw	920	3.c		Salzburg
Handelskai	Nw  H2	1586	3.c		Wien
Handelskai	Hak	779	3.d		Wien
Hard-Fussach	Hfu	2298	3.c		Vorarlberg
Hart bei Graz	Mes H2	4609072	3.d		Steiermark
Hart im Innkreis	Mn  H1	1441	3.d		Oberösterreich
Hartberg	Har	781	3.d		Steiermark
Haselstauden	Do  H1	286	3.d		Vorarlberg
Haslach	Hah	774	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Oberösterreich
Haslau an der Donau	Hlu	850	3.d		Niederösterreich
Hatlerdorf	Hos H1	886	3.d		Vorarlberg
Hatting	Zl  H2	2569	3.d		Tirol
Hatzendorf	Sou H2	2053	3.d		Steiermark
Haus	Hau	784	3.d		Steiermark
Hausleiten	Hui	2144	3.d		Niederösterreich
Hausruck	Otg H3	896	3.d		Oberösterreich
Hautzendorf	Snb H1	2041	3.d		Niederösterreich
Heinfels	Sil H1H	5517158	3.d		Tirol
Heiterwang-Plansee	Bch H2H	140	3.d		Tirol
Helmahof	Wg  H1	2448	3.d		Niederösterreich
Hengsberg	Hen	4609057	3.d		Steiermark
Hennersdorf	Hnd	856	3.c		Niederösterreich
Hermagor	Her	799	3.d		Kärnten
Hernals	Hns	857	3.c		Wien
Herzogenburg	Ho	858	3.c		Niederösterreich
Herzogenburg Stadt	Tra H2	2253	3.d		Niederösterreich
Herzogenburg-Wielandsthal	Stf H1	2103	3.d		Niederösterreich
Herzograd	Sv  H1E	2153	-	Interessentenhaltestelle	Niederösterreich
Hetzmannsdorf-Wullersdorf	Hm	851	3.d		Niederösterreich
Hieflau	Hi	832	3.d		Steiermark
Hilm-Kematen	Hk	839	3.d		Niederösterreich
Himberg	Him	835	3.d		Niederösterreich
Hinterstoder	Hst	899	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Oberösterreich
Hirschbach	Vit H1	2324	3.d		Niederösterreich
Hirtenberg	Ez  H1	396	3.d		Niederösterreich
Höbersdorf	Si  H1	2013	3.d		Niederösterreich
Hochfilzen	Hch	793	3.d		Tirol
Hochzirl	Hol	877	3.d		Tirol
Höflein a.d.Donau	Kz  H1	1118	3.d		Niederösterreich
Hohenau	Nh	1543	3.d		Niederösterreich
Hohenbrugg a.d.Raab	Feg H1	419	3.d		Steiermark
Hohenems	Hos	884	3.c		Vorarlberg
Hollabrunn	Oh	1617	3.c		Niederösterreich
Hollenegg	Dlb H1	282	3.d		Steiermark
Holzleithen	Otg H2	883	3.d		Oberösterreich
Hopfgarten	Hp	890	3.d		Tirol
Hopfgarten Berglift	Kit H3	2433	3.d		Tirol
Hörersdorf	Mb  H3	1372	3.d		Niederösterreich
Horn	Hna	855	3.d		Niederösterreich
Hörsching	Hoe	869	3.d		Oberösterreich
Hötzelsdorf-Geras	Hgr	829	3.d		Niederösterreich
Hüttau	Hue H1	5701084	3.d		Salzburg
Iglmühle	Nef H2	1516	3.d		Oberösterreich
Imsterberg	Im  H1	946	3.d		Tirol
Imst-Pitztal	Im	942	3.d		Tirol
Innsbruck Hbf	I	927	3.a		Tirol
Innsbruck Hötting	Ih	937	3.d		Tirol
Innsbruck Messe	H   H3	4872534	3.c		Tirol
Innsbruck Westbf	Wt	2512	3.d		Tirol
Inzing	Zl  H1	2568	3.d		Tirol
Irnfritz	Irn	947	3.d		Niederösterreich
Irschen	Od  H1	1604	3.d		Kärnten
Jedenspeigen	Due H1	302	3.d		Niederösterreich
Jedlersdorf	J	956	3.c		Wien
Jenbach	Jb	961	3.c		Tirol
Jennersdorf	Jd	968	3.d		Burgenland
Johnsbach im Nationalpark	Gb  H1	558	3.d		Steiermark
Jois	Pur H3H	1569	3.d		Burgenland
Judenburg	Jg	971	3.c		Steiermark
Judendorf-Straßengel	Gw  H1	748	3.c		Steiermark
Kaindorf a.d.Sulm	Wi  H2	699	3.c		Steiermark
Kainisch	Kai	995	3.d		Steiermark
Kaiserebersdorf	Kls	1059	3.c		Wien
Kalsdorf	Kal	997	3.c		Steiermark
Kalwang	Kag	992	3.d		Steiermark
Kamegg	Hna H3	1818	3.d		Niederösterreich
Kammern	Sei H1	1981	3.d		Steiermark
Kammer-Schörfling	Kms	1064	3.d		Oberösterreich
Kapellerfeld	Gef H1	571	3.d		Niederösterreich
Kapfenberg	Ka	990	3.c		Steiermark
Kapfenberg Fachhochschule	Mas H1H	1343	3.d		Steiermark
Kappel am Krappfeld	Tr  H1	2246	3.d		Kärnten
Kastenreith	Wey H1	2442	3.d		Oberösterreich
Katsdorf	Lu  H1	1281	3.d		Oberösterreich
Katzelsdorf	Nb  H1	1500	3.d		Niederösterreich
Kefermarkt	Kf	1024	3.d		Oberösterreich
Kematen in Tirol	Vl  H1	2330	3.d		Tirol
Kematen-Piberbach	Kek	1015	3.d		Oberösterreich
Kimpling	Neu H1	1529	3.d		Oberösterreich
Kindberg	Ki	1032	3.c		Steiermark
Kirchberg am Wagram	Kch	1007	3.c		Niederösterreich
Kirchberg in Tirol	Kit	1046	3.c		Tirol
Kirchbichl	Kir	1044	3.d		Tirol
Kirchdorf a.d.Krems	Kik	1039	3.c		Oberösterreich
Kirchstetten	Krt	1090	3.c		Niederösterreich
Kittsee	Ktt	1103	3.d		Burgenland
Kitzbühel	Kzb	1120	3.c		Tirol
Kitzbühel Hahnenkamm	Kzb H1	1121	3.d		Tirol
Klagenfurt Annabichl	Mal H1	1336	3.d		Kärnten
Klagenfurt Ebenthal	Gra H1	685	3.d		Kärnten
Klagenfurt Hbf	Kt	1098	3.b		Kärnten
Klagenfurt Lend	Kt  H1	1099	3.d		Kärnten
Klagenfurt Ostbf	Kto	1337	3.d		Kärnten
Klagenfurt Süd	Kts	5091980	3.d		Kärnten
Klagenfurt West	Kt  H2	5091977	3.d		Kärnten
Klamm-Schottwien	Eib H1	1093	3.d		Niederösterreich
Klaus	Kus	1111	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Klaus in Vorarlberg	Rk  H2	1860	3.c		Vorarlberg
Kleblach-Lind	Kel	1016	3.d		Kärnten
Kledering	Za	2548	3.d		Niederösterreich
Kleinreifling	Kg	1031	3.d		Oberösterreich
Kleinzell	Nen H1	1520	3.d		Oberösterreich
Klosterneuburg-Kierling	Ken H1	1020	3.d		Niederösterreich
Klosterneuburg-Weidling	Ken	1019	3.d		Niederösterreich
Knittelfeld	Kd	1008	3.c		Steiermark
Köflach	Kfl	1029	3.d		Steiermark
Kolbnitz	Kl	1050	3.d		Kärnten
Köppling	Smk H1	2033	3.d		Steiermark
Korneuburg	Ko	1066	3.c		Niederösterreich
Köstendorf Weng	Nst H1	1576	3.d		Salzburg
Kothmühle	Ssm H1	2086	3.d		Oberösterreich
Kottingbrunn	Bvs H1	254	3.d		Niederösterreich
Kottingneusiedl	Enz H1	374	3.d		Niederösterreich
Köttmannsdorf Lambichl	Kt  H1A	5738657	3.d		Kärnten
Kranebitten	Ih  H2	939	3.d		Tirol
Kraubath	Kra	1078	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Steiermark
Kreisbach	Trn H3	2257	3.d		Niederösterreich
Krems a.d.Donau	Kr	1076	3.c		Niederösterreich
Krems in Steiermark	Kro K1	1089	3.d		Steiermark
Kremsmünster	Kre	1084	3.d		Oberösterreich
Krenstetten-Biberbach	Ams H3	5	3.d		Niederösterreich
Krieglach	Ke	1014	3.d		Steiermark
Kritzendorf	Kz	1113	3.d		Niederösterreich
Kröllendorf	Ul  H1	2287	3.d		Niederösterreich
Krottenbachstraße	Ht  H2	903	3.c		Wien
Krottendorf-Ligist	Kro	1087	3.d		Steiermark
Krummnußbaum	Poe H1	1060	3.d		Niederösterreich
Krumpendorf	Krd	1082	3.c		Kärnten
Küb	Pr  H1	1742	3.d		Niederösterreich
Kuchl	Hl  H5	844	3.d		Salzburg
Kuchl Garnei	Hl  H3	1402938	3.c		Salzburg
Kufstein	K	984	3.c		Tirol
Kühnsdorf Klopeiner See	Khd	5012219	3.c		Kärnten
Kumpfmühl	Neu H2	1531	3.d		Oberösterreich
Küpfern Haltestelle	Rei H3	1416	3.d		Oberösterreich
Laa a.d.Thaya	Laa	1131	3.c		Niederösterreich
Lacken	Rog H1	1879	3.d		Oberösterreich
Ladendorf	Ldf	1566016	3.d		Niederösterreich
Lähn	Ler H1	1197	3.d		Tirol
Lahrndorf	Lf	1201	3.d		Oberösterreich
Lambach	La	1127	3.c		Oberösterreich
Lambach Markt	La  H1	1129	3.d		Oberösterreich
Landeck-Zams	Le	1180	3.c		Tirol
Langen am Arlberg	Lan	1149	3.c		Vorarlberg
Langenlebarn	Aw  H3	111	3.d		Niederösterreich
Langenlois	Lis	1234	3.d		Niederösterreich
Langenwang	Mz  H2	1489	3.c		Steiermark
Langenzersdorf	F   H2S	959	3.c		Niederösterreich
Lannach	Lnn	1252	3.c		Steiermark
Lanzendorf-Rannersdorf	Zs	2578	3.d		Niederösterreich
Lanzenkirchen	Kw	1112	3.d		Niederösterreich
Lasberg-St.Oswald	Kf  H1	1025	3.d		Oberösterreich
Laßnitzhöhe	Lah	1142	3.d		Steiermark
Laßnitzthal	Laz	1145	3.d		Steiermark
Lauffen	Gj  H1	600	3.d		Oberösterreich
Launsdorf-Hochosterwitz	Lad	1133	3.d		Kärnten
Lauterach	Lat	1274	3.c		Vorarlberg
Lauterach Unterfeld	Lwa	1289	3.c		Vorarlberg
Laxenburg-Biedermannsdorf	Lx	1290	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Niederösterreich
Lebring	Wi  H1	2458	3.c		Steiermark
Ledenitzen	Fas H1	5270173	3.d		Kärnten
Lehen-Altensam	At  H1	92	3.d		Oberösterreich
Leibnitz	Lei	1193	3.c		Steiermark
Leithen	Hol H1	878	3.d		Tirol
Lend	Ld	1175	3.c		Salzburg
Lendorf	Ssn H1	2088	3.d		Kärnten
Lengau	Nst H2H	497	3.d		Oberösterreich
Lenzing	Lng	1248	3.d		Oberösterreich
Lenzing Ort	Lng H1	1250	3.d		Oberösterreich
Leoben Hbf	Leb	1183	3.c		Steiermark
Leoben Lerchenfeld	Ni  H1	5402655	3.d		Steiermark
Leobendorf-Burg Kreuzenstein	Ko  H1	1073	3.c		Niederösterreich
Leobersdorf	Lb	1161	3.c		Niederösterreich
Leogang	Saa H2	1920	3.d		Salzburg
Leogang-Steinberge	Saa H1	1919	3.d		Salzburg
Leonding	Lz  H1	1296	3.d		Oberösterreich
Leopoldau	Lp	1266	3.c		Wien
Lermoos	Ler	1196	3.d		Tirol
Lichendorf	Sd  H2	1968	3.d		Steiermark
Liebenfels Haltestelle	Vs  H2	2649	3.d		Kärnten
Lieboch	Lbo	1166	3.c		Steiermark
Lieboch Schadendorf	Lbo H1	1169	3.d		Steiermark
Lienz	Lie	1217	3.c		Tirol
Lienz-Peggetz	Lie H1	4749447	3.d		Tirol
Liesing	Lg	1205	3.c		Wien
Liezen	Ln	1243	3.c		Steiermark
Lilienfeld	Lil	1223	3.d		Niederösterreich
Lilienfeld Krankenhaus	Shr H1	492	3.d		Niederösterreich
Limberg-Maissau	Lim	1228	3.d		Niederösterreich
Lind-Rosegg	Vel H1	2312	3.d		Kärnten
Linz Ebelsberg	Ast H2	88	3.c		Oberösterreich
Linz Hbf	Lz	1293	3.a		Oberösterreich
Linz Oed	Lz  H1W	1297	3.d		Oberösterreich
Linz Pichling	Ast H1	87	3.d		Oberösterreich
Linz Urfahr	Uf	2280	3.d		Oberösterreich
Linz Wegscheid	Wd	2398	3.d		Oberösterreich
Lochau-Hörbranz	Lc	1170	3.d		Vorarlberg
Lödersdorf	Fb  H1	405	3.d		Steiermark
Loipersbach-Schattendorf	Ls	1270	3.d		Burgenland
Loosdorf	Los	1264	3.c		Niederösterreich
Losenstein	Lon	1261	3.d		Oberösterreich
Ludesch	Lt	1275	3.d		Vorarlberg
Lungitz	Lu	1280	3.d		Oberösterreich
Lustenau	Us	2297	3.c		Vorarlberg
Maishofen-Saalbach	Z   K1	2545	3.c		Salzburg
Mallnitz-Obervellach	Ma	1311	3.d		Kärnten
Mandling	Mdg	1385	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Salzburg
Mannswörth	Msw	713	3.d		Niederösterreich
Marchegg	Mac	1318	3.c		Niederösterreich
Marchtrenk	Mak	1324	3.d		Oberösterreich
Maria Anzbach	Hu  H2	912	3.c		Niederösterreich
Maria Ellend	Mae	1319	3.d		Niederösterreich
Maria Lanzendorf	Mar	1341	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Niederösterreich
Maria Rain	Mrn	1456	3.d		Kärnten
Maria Saal	Mal	1332	3.d		Kärnten
Mariahof-St.Lambrecht	Mah	1322	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Steiermark
Markersdorf a.d.Pielach	Pd  H1	1675	3.d		Niederösterreich
Markt Paternion	Ro  H2	1873	3.d		Kärnten
Markt Sachsenburg	Kel H1	1018	3.d		Kärnten
Marktl	Lil H1	1226	3.d		Niederösterreich
Marz-Rohrbach	Mr  H1	1455	3.d		Burgenland
Matrei	Mei	1388	3.c		Tirol
Mattersburg	Mr	1454	3.c		Burgenland
Mattersburg Nord	Sau H2	1940	3.d		Burgenland
Mattighofen	Mho	1407	3.d		Oberösterreich
Mauerkirchen	Mau	1364	3.d		Oberösterreich
Mauer-Öhling	Ams H1	1240764	3.c		Niederösterreich
Mautbrücken	Gla H1	619	3.d		Kärnten
Mautern	Mu	1466	3.d		Steiermark
Mauthausen	Mh	1401	3.d		Oberösterreich
Melk	Los H1	1433	3.c		Niederösterreich
Micheldorf	Mid	1413	3.c		Oberösterreich
Micheldorf-Hirt	Fi  H1	436	3.d		Kärnten
Michelhausen	Tfd H1	1386	3.d		Niederösterreich
Miesenbach-Waidmannsfeld	Oed H1	1610	3.d		Niederösterreich
Mining	Mig	1418	3.d		Oberösterreich
Mistelbach	Mb	1370	3.c		Niederösterreich
Mistelbach Stadt	Mb  H1H	1945177	3.d		Niederösterreich
Mitterberghütten	Bo  H1	201	3.d		Salzburg
Mitterdorf-Veitsch	Mv	1476	3.d		Steiermark
Mittewald a.d.Drau	Abf K1	8	3.d		Tirol
Mittlern	Ble H2	176	3.d		Kärnten
Mixnitz-Bärenschützklamm	Mx	1479	3.d		Steiermark
Mödling	Md	1377	3.c		Niederösterreich
Mogersdorf	Mog	1442	3.d		Burgenland
Möllbrücke-Sachsenburg	Ssn	2087	3.d		Kärnten
Möllersdorf Aspangbahn	Guk H2	741	3.d		Niederösterreich
Moosbierbaum-Heiligeneich	Mos	1444	3.d		Niederösterreich
Mötz	Sts H1	2130	3.d		Tirol
Muckendorf-Wipfing	Aw  H2	110	3.d		Niederösterreich
Mühldorf-Möllbrücke	Kl  H1	1394	3.d		Kärnten
Mühlheim	Ath H1	96	3.d		Oberösterreich
Mühling	Wie H1	2461	3.d		Niederösterreich
Mühling-Plaika	Wie H2	2462	3.d		Niederösterreich
Münchendorf	Mue	1469	3.c		Niederösterreich
Munderfing	Mun	1475	3.d		Oberösterreich
Münster-Wiesing	Bri H1	218	3.d		Tirol
Mureck	Mug	1470	3.d		Steiermark
Mürzzuschlag	Mz	1485	3.c		Steiermark
Musau	Rt  H2	1893	3.d		Tirol
Nendeln	Nd	1507	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Liechtenstein
Nenzing	Lt  K1	1278	3.d		Vorarlberg
Nettingsdorf	Net	1526	3.d		Oberösterreich
Neubau-Kreuzstetten	N	1495	3.d		Niederösterreich
Neudorf/Novo Selo	Par H1	1661	3.d		Burgenland
Neudörfl	Nel	1518	3.d		Burgenland
Neufelden	Nef	1514	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Neuhaus a.d.Gail	Fn  H1	2356	3.d		Kärnten
Neuhaus-Niederwaldkirchen	Nen	1519	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Neuhofen a.d.Krems	Nkr	1557	3.d		Oberösterreich
Neukirchen bei Lambach	La  H2	1130	3.d		Oberösterreich
Neukirchen-Gampern	Tm  H1	2229	3.d		Oberösterreich
Neulengbach	Nl	1558	3.d		Niederösterreich
Neulengbach Stadt	Hu  H4	914	3.c		Niederösterreich
Neumarkt a.d.Y-Karlsbach	Kar H1	2531	3.c		Niederösterreich
Neumarkt am Wallersee	Nsk	1578	3.c		Salzburg
Neumarkt in Steiermark	Nes	1524	3.d		Steiermark
Neumarkt-Kallham	Neu	1528	3.c		Oberösterreich
Neunkirchen N.Ö.	Nek	1517	3.c		Niederösterreich
Neuratting	Rd  H3	1827	3.d		Oberösterreich
Neusiedl am See	Ns	1568	3.c		Burgenland
Nickelsdorf	Nif	1551	3.d		Burgenland
Niederkreuzstetten	Snb H2	2042	3.d		Niederösterreich
Niedernfritz-St.Martin	Ebn H1	308	3.d		Salzburg
Niederöblarn	Mag H1	1321	3.d		Steiermark
Niklasdorf	Ni	1545	3.c		Steiermark
Nikolsdorf	Doe H1	292	-	Interessentenhaltestelle	Tirol
Nöstlbach-St.Marien	Net H1	1527	3.d		Oberösterreich
Nötsch	Noe	1564	3.d		Kärnten
Nußbach	Wak H1	2377	3.d		Oberösterreich
Nußdorf	Nf	1534	3.d		Wien
Nüziders	B   H1	117	3.d		Vorarlberg
Ober Piesting	Op	1626	3.d		Niederösterreich
Ober Radlberg	Ho  H1	862	3.d		Niederösterreich
