Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Ober Waltersdorf	Ti  H1	2221	3.d		Niederösterreich
Oberalm	Aj  H5	1747	3.d		Salzburg
Oberbrunn	Otg H5	392	3.d		Oberösterreich
Oberdrauburg	Od	1603	3.d		Kärnten
Obereggendorf	Ed	314	3.d		Niederösterreich
Oberhart	Sth H1	2107	3.d		Oberösterreich
Oberhofen im Inntal	Zl  H3	1400441	3.d		Tirol
Oberhofen-Zell am Moos	Edb H1	318	3.d		Oberösterreich
Oberland Haltestelle	Ob  H1H	5275915	3.d		Oberösterreich
Obernberg-Altheim	Ath	95	3.d		Oberösterreich
Oberndorf in Tirol	Jti H1	981	3.d		Tirol
Oberolberndorf	Su  H1	2142	3.d		Niederösterreich
Obersdorf Haltestelle	Gef H3	573	3.c		Niederösterreich
Obersee	Oa  H2	1597	3.d		Oberösterreich
Oberthalheim-Timelkam	Vk  H1	2327	3.d		Oberösterreich
Obertrattnach-M Hofk	Gk  H1	603	3.d		Oberösterreich
Obertraun-Dachsteinhöhlen	Oa	1593	3.d		Oberösterreich
Obertraun-Koppenbrüllerhöhle	Au  H1	98	3.d		Oberösterreich
Oberweiden	On	1625	3.d		Niederösterreich
Öblarn	Oeb	1607	3.d		Steiermark
Oed	Oed	1609	3.d		Niederösterreich
Oepping	Oep	1611	3.d		Oberösterreich
Oftering	Hoe H1	870	3.d		Oberösterreich
Oisnitz-St.Josef	Lnn H1	1254	3.d		Steiermark
Ollersbach	Nl  H1	1559	3.d		Niederösterreich
Ortmann	Ort	1636	3.d		Niederösterreich
Ossiach-Bodensdorf	Oi	1618	3.d		Kärnten
Ottakring	Ok	1620	3.c		Wien
Ottensheim	Ott	1646	3.d		Oberösterreich
Ottnang-Wolfsegg	Otg	1643	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Ötztal	Oz	1649	3.d		Tirol
Paasdorf	Ldf H1	1496	3.d		Niederösterreich
Pama/Bijelo Selo	Gtt H1	727	3.d		Burgenland
Parndorf/Pandrof	Par	1660	3.d		Burgenland
Parndorf Ort/Pandrof mjesto	Apo H1	1240762	3.c		Burgenland
Pasching	Lz  H2	1298	3.d		Oberösterreich
Passering	Tr  H2	2247	3.d		Kärnten
Paternion-Feistritz	Pf  H1	5078010	3.d		Kärnten
Patsch	I   H2	930	3.d	Ab Netzfahrplanperiode 2026 wird die Station nicht mehr angeboten.	Tirol
Paudorf	Pau	1665	3.d		Niederösterreich
Payerbach-Reichenau	Pr	1741	3.c		Niederösterreich
Peggau-Deutschfeistritz	Pg	1698	3.c		Steiermark
Perchtoldsdorf	Lg  H1	1206	3.d		Niederösterreich
Perg	P	1650	3.d		Oberösterreich
Perg Schulzentrum	Arb H1	81	3.d		Oberösterreich
Pernegg	Pn	1724	3.c		Steiermark
Pernitz Raimundviertel	Pem H1	1048281	3.d		Niederösterreich
Pernitz Wipfelhofstraße	Ort H1	1637	3.d		Niederösterreich
Pernitz-Muggendorf	Pem	1683	3.d		Niederösterreich
Petersbaumgarten	Sgk H1	2004	3.d		Niederösterreich
Peterskirchen	Pra H2	1748	3.d		Oberösterreich
Petronell-Carnuntum	Pet	1685	3.d		Niederösterreich
Pettenbach	Peb	1680	3.d		Oberösterreich
Petzenkirchen	Erf H1	382	3.d		Niederösterreich
Pfaffenschwendt	Hch H1	794	3.d		Tirol
Pfaffstätten	Bf	148	3.d		Niederösterreich
Pfarrwerfen	Rf  H1	1837	3.d		Salzburg
Pfennigbach	Gru H3	710	3.d		Niederösterreich
Pflach	Rt  H1	1891	3.d		Tirol
Pichl	Pic	1704	3.d		Steiermark
Piesting	Pie	1705	3.d		Niederösterreich
Piesting Harzwerk	Woe H2	1048252	3.d		Niederösterreich
Pill-Vomperbach	Sw  H1H	2162	3.d		Tirol
Pinggau Markt	Tau H1	2202	3.d		Steiermark
Pinsdorf	Gz  H1	753	3.d		Oberösterreich
Pitten	Ptt	1766	3.d		Niederösterreich
Plank am Kamp	Plk	1715	3.d		Niederösterreich
Platt	Gud H1	735	3.d		Niederösterreich
Pöchlarn	Poe	1725	3.c		Niederösterreich
Pöckau	Vw  H1	2357	3.d		Kärnten
Pöham	Ph	1702	3.d		Salzburg
Pölfing-Brunn	Bgl H1A	1695	3.d		Steiermark
Pöndorf	Fm  H1	475	3.d		Oberösterreich
