8101137	Schwarzach-St.Veit
8102444	Schwarzenau
8101162	Schwarzsee
8101179	Schwaz
8102923	Schwechat
8102509	Schwertberg
8103306	Seebenstein
8102228	Seefeld in Tirol
8101110	Seekirchen am Wallersee
8101457	Selzthal
8103141	Semmering
8102867	Seyring
8102894	Siebenbrunn-Leopoldsdorf
8102879	Siebenhirten
8102807	Siemensstraße
8102655	Sierndorf
8102823	Sierndorf a.d.March
8102435	Sigmundsherberg
8102815	Silberwald
8103879	Sillian
8101202	Silz
8101289	Sitzenberg-Reidling
8103122	Sollenau
8101435	Sonntagberg
8103185	Spielfeld-Straß
8102652	Spillern
8101630	Spital am Pyhrn
8103143	Spital am Semmering
8102128	Spittal-Millstättersee
8103718	St.Andrä im Lavanttal
8102415	St.Andrä-Wördern
8101222	St.Anton am Arlberg
8134034	St. Anton im Montafon
8103129	St.Egyden
8101595	St.Georgen a.d.Gusen
8101594	St.Georgen a.d.Gusen Ort
8103632	St.Georgen am Längsee
8103617	St. Georgen ob Judenburg
8102265	St.Jodok
8101136	St.Johann im Pongau
8101157	St.Johann in Tirol
8101057	St.Johann-Weistrach
8103153	St.Marein-St.Lorenzen
8101601	St.Martin bei Traun
8101650	St.Michael
8103824	St.Michael ob Bleiburg
8101524	St.Pantaleon
8101035	St. Paul im Lavanttal
8101056	St.Peter-Seitenstetten
8101330	St.Pölten-Bildungscampus
8101032	St.Pölten Hbf
8101301	St.Pölten-Kaiserwald
8101280	St.Pölten Traisenpark
8103717	St.Stefan im Lavanttal
8103903	St.Stefan-Vorderberg
8101061	St.Valentin
8103800	St.Veit a.d.Glan
8105816	St.Veit a.d.Glan-West
8101326	St.Veit a.d.Triesting
8102883	Staatz
8101059	Stadt Haag
8101634	Stadt Rottenmann
8101438	Stadt Waidhofen a.d.Ybbs
8101461	Stainach-Irdning
8101200	Stams
8101178	Stans
8102556	Statzendorf
8101939	Steeg-Gosau
8101467	Stein a.d.Enns
8102264	Steinach in Tirol
8103865	Steinfeld im Drautal
8103142	Steinhaus
8101930	Steinkogel
8101531	Steyr
8101597	Steyregg
8101529	Steyr Münichholz
8102820	Stillfried
8102653	Stockerau
8105849	Strasshof Haltestelle
8101104	Straßwalchen
8105576	Straßwalchen West
8103167	Stübing
8103500	Studenzen-Fladnitz
8102323	Sulz-Röthis
8101582	Summerau
8105975	Takern-St.Margarethen
8102818	Tallesbrunn
8103878	Tassenbach
8103316	Tauchen-Schaueregg
8101737	Taufkirchen a.d.Pram
8101948	Tauplitz
8101142	Taxenbach-Rauris
8101198	Telfs-Pfaffenhofen
8101131	Tenneck
8101181	Terfens-Weer
8101536	Ternberg
8103131	Ternitz
8103875	Thal
8103616	Thalheim-Pöls
8103124	Theresienfeld
8101095	Timelkam
8101240	Tisis
8103649	Töschling
8101309	Traisen
8101287	Traismauer
8101290	Trasdorf
8101537	Trattenbach
8101602	Traun
8101926	Traunkirchen
8101927	Traunkirchen Ort
8102970	Trautmannsdorf a.d.L.
8103627	Treibach-Althofen
8101637	Trieben
8134049	Tschagguns H-Lst
8102419	Tulln an der Donau
8101015	Tullnerbach-Pressbaum
8101295	Tullnerfeld
8101297	Tulln Stadt
8101431	Ulmerfeld-Hausmening
8102254	Ulrichsbrücke-Füssen
8102870	Ulrichskirchen
8102261	Unterberg-Stefansbrücke
8103202	Untereggendorf
8103056	Unter Höflein
8102411	Unterkritzendorf
8101012	Unter Purkersdorf
8101283	Unter Radlberg
8102669	Unterretzbach
8102896	Untersiebenbrunn
8101014	Unter Tullnerbach
8103618	Unzmarkt
8122304	Vandans
8103650	Velden am Wörthersee
8103906	Vellach-Khünburg
8101281	Viehofen
8103032	Vienna Biocenter-St.Marx
8103654	Villach Hbf
8105979	Villach Landskron
8103653	Villach Seebach
8103814	Villach St.Ruprecht
8103657	Villach Warmbad
8103656	Villach Westbf
8105940	Vils Stadt
8102447	Vitis
8101093	Vöcklabruck
8101098	Vöcklamarkt
8101183	Volders-Baumkirchen
8101191	Völs
8102469	Wagram-Grafenegg
8101437	Waidhofen a.d.Ybbs
8101641	Wald am Schoberpaß
8101109	Wallersee
8103197	Wampersdorf
8101921	Wankham
8101614	Wartberg a.d.Krems
8103150	Wartberg im Mürztal
8102817	Weikendorf-Dörfles
8101321	Weissenbach-Neuhaus
8101445	Weißenbach-St.Gallen
8105623	Weissenstein-Kellerberg
8103880	Weitlanbrunn
8103844	Weizelsdorf
8101081	Wels Hbf
8101781	Wendling
8101132	Werfen
8103178	Werndorf
8101741	Wernstein
8101165	Westendorf
8101346	Weststeiermark
8113464	Wettmannstätten
8101033	Wiederndorf-Aich
8105973	Wien Aspern Nord
8103109	Wien Atzgersdorf
8103191	Wien Blumental
8101250	Wien Breitensee
8105924	Wien Brünner Straße
8103204	Wiener Neustadt Civitas Nova
8103126	Wiener Neustadt Hbf
8103127	Wiener Neustadt Nord
8102890	Wien Erzherzog Karl-Straße
8102806	Wien Floridsdorf
8102402	Wien Franz-Josefs-Bf
8102961	Wien Grillgasse
8101009	Wien Hadersdorf
8102854	Wien Haidestraße
8101003	Wien Hauptbahnhof
8102406	Wien Heiligenstadt
8103108	Wien Hetzendorf
8102891	Wien Hirschstetten
8101008	Wien Hütteldorf
8102848	Wien Matzleinsdorfer Platz
8103107	Wien Meidling
8102842	Wien Mitte
8101255	Wien Oberdöbling
8101006	Wien Penzing
8102858	Wien Praterkai
8102801	Wien Praterstern
